MODEL,SN,LSET,RUN,JOB,EYE,DATETIME,LTYPE,INSDRSPH,INSDRCYL,INSDRAX,INSDRPRVM,INSDRPRVA,INSPRSPH,INSPRCYL,INSPRAX,INSPRPRVM,INSPRPRVA,INSNRSPH,INSNRCYL,INSNRAX,INSNRPRVM,INSNRPRVA,INSCTHK,INSDIA,INSGMC,INSAV,INSDOT,INSDBPH,INSDBPV,INSDBPA,FLAG,COMMENT
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS003,R,2018-05-02T11:30:00Z,NA,-8.585,4.302,174.85,5.717003149,90.06013198,-9.8595,3.835,179.176,1.595785073,84.71455325,-10.0585,4.083,0.289,7.263692518,-67.75329929,1.903,64.932,11.451,-0.045,1.523,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS004,R,2018-05-03T12:07:00Z,NA,-7.065,4.072,89.949,3.811396857,89.17317,-6.7895,4.075,90.608,1.636213311,-87.79336437,-4.0415,3.723,89.661,9.030921105,-87.18195017,1.906,64.984,0.065,-0.009,0.184,0.03,0,-0.031,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS004,R,2018-05-03T12:07:00Z,NA,-7.0695,4.081,89.927,3.893062162,89.67621533,-6.7895,4.077,90.572,1.552252557,-88.96642538,-4.056,3.74,89.673,8.947352961,-87.37999129,1.903,64.984,0.067,-0.009,0.185,0.039,0.005,-0.02,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS004,R,2018-05-03T12:06:00Z,NA,-7.073,4.084,89.973,3.786592796,88.98615516,-6.799,4.084,90.555,1.66260338,-87.48350268,-4.0455,3.729,89.67,9.057385495,-87.12685422,1.906,64.979,0.068,-0.009,0.185,0.045,-0.008,-0.037,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS005,R,2018-05-03T12:04:00Z,NA,-2.5325,0.591,89.563,0.236814273,126.2408308,-2.1675,0.559,92.318,1.703966256,-94.37549511,0.006,0.536,92.336,2.901055842,-89.64449817,1.882,64.619,0.089,0.028,0.19,-0.023,-0.247,0.13,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS005,R,2018-05-02T11:40:26Z,NA,-2.529,0.592,89.322,0.258094944,134.8430257,-2.162,0.538,92.136,1.709876311,-95.84062873,0.018,0.522,91.818,2.890145498,-90.57492105,1.884,64.613,0.087,0.029,0.187,0.001,-0.265,0.087,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS005,R,2018-05-02T11:39:33Z,NA,-0.885,0.746,126.522,2.80955815,88.8579072,-2.1645,0.543,91.817,1.742499641,83.70701308,-2.388,0.458,86.768,1.729041353,-65.3914972,1.883,64.614,11.488,0.029,1.747,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS006,R,2018-05-03T14:27:30Z,NA,-0.029,0.094,97.044,1.823132743,-97.62787155,0.505,0.212,145.975,1.636528032,-98.14990732,2.156,0.218,102.735,1.025809436,127.1156569,1.944,64.403,0.078,0.018,0.193,-0.014,-0.252,0.123,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS006,R,2018-05-03T14:26:56Z,NA,-0.0275,0.093,97.366,1.831065537,-96.30218116,0.504,0.212,146.33,1.643372447,-96.74446276,2.152,0.226,102.722,0.985702288,126.0444677,1.947,64.414,0.08,0.018,0.19,-0.015,-0.249,0.127,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS006,R,2018-05-03T14:26:14Z,NA,-0.0305,0.095,97.303,1.800917822,-95.70426176,0.5035,0.213,146.042,1.613664773,-95.94024139,2.1525,0.223,103.181,0.996242942,123.7857731,1.95,64.406,0.08,0.018,0.191,-0.01,-0.261,0.111,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS007,R,2018-05-02T13:21:29Z,NA,-1.989,1.96,179.342,2.517288223,-68.12251177,-1.4715,2.095,177.417,2.374737249,-66.39272659,0.321,1.758,177.899,1.158879631,7.486827979,1.656,64.526,0.082,-0.007,0.205,0.102,-0.136,0.406,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS007,R,2018-05-02T13:19:58Z,NA,-1.987,1.962,179.339,2.49782005,-69.78760184,-1.474,2.102,177.363,2.352039328,-67.94979468,0.3195,1.753,178.027,1.078762254,8.100057376,1.653,64.503,0.085,-0.006,0.207,0.092,-0.155,0.388,test,Made by Essilor in Creteil
